game,p0_delta,p0_fold_rate,p0_call_rate,p0_raise_rate,p0_actor_loss,p0_critic_loss,p0_sl_loss,p0_reservoir,p1_delta,p1_fold_rate,p1_call_rate,p1_raise_rate,p1_actor_loss,p1_critic_loss,p1_sl_loss,p1_reservoir,p2_delta,p2_fold_rate,p2_call_rate,p2_raise_rate,p2_actor_loss,p2_critic_loss,p2_sl_loss,p2_reservoir,p3_delta,p3_fold_rate,p3_call_rate,p3_raise_rate,p3_actor_loss,p3_critic_loss,p3_sl_loss,p3_reservoir
405,-10000,0.161,0.153,0.664,-0.2438,105.6673,0.9322,125,30000,0.182,0.053,0.762,-17.1257,102.8131,0.6002,79,-10000,0.069,0.183,0.724,0.5613,218.9692,0.4829,204,-10000,0.0,0.5,0.5,-1.1901,0.3184,1.1611,193
406,30000,0.162,0.155,0.662,-0.2438,105.6673,0.9322,125,-10000,0.182,0.053,0.762,-17.1257,102.8131,0.5823,79,-10000,0.069,0.183,0.724,0.5613,218.9692,0.4829,204,-10000,0.0,0.067,0.933,-1.1901,0.3184,1.1611,193
407,-10000,0.16,0.155,0.664,-0.2438,105.6673,0.5713,125,-10000,0.181,0.053,0.763,-17.1257,102.8131,0.5823,79,-10000,0.222,0.209,0.148,0.5613,218.9692,0.4829,204,30000,0.182,0.0,0.818,-1.1901,0.3184,1.1611,193
408,-10000,0.16,0.154,0.665,-0.2438,105.6673,0.6082,125,30000,0.2,0.0,0.8,-17.1257,102.8131,0.5823,79,-10000,0.07,0.185,0.721,-0.1796,21.0564,0.9909,206,-10000,0.178,0.089,0.711,0.1988,513.4328,1.118,196
409,-10000,0.16,0.155,0.664,-0.2438,105.6673,0.6082,125,-10000,0.182,0.052,0.762,-17.1257,102.8131,0.5823,79,30000,0.0,0.125,0.875,-0.1796,21.0564,0.9909,206,-10000,0.178,0.089,0.712,0.1988,513.4328,1.118,196
410,-10000,0.159,0.155,0.666,-0.2438,105.6673,0.5716,125,-10000,0.183,0.051,0.762,-0.2354,6879.8203,0.7031,81,-10000,0.0,0.0,1.0,-0.1796,21.0564,0.9909,206,30000,0.18,0.089,0.711,-0.393,10121.4736,1.1659,199
411,-10000,0.159,0.155,0.666,-0.2438,105.6673,0.5716,125,-10000,0.181,0.051,0.762,0.0146,7448.6611,0.5325,88,30000,0.143,0.0,0.857,-0.1796,21.0564,0.9909,206,-10000,0.179,0.09,0.71,-0.393,10121.4736,1.1659,199
412,30000,0.16,0.155,0.665,-0.2438,105.6673,0.8184,125,-10000,0.184,0.057,0.754,-0.3846,513.7382,0.7551,93,-10000,0.167,0.0,0.833,-0.1796,21.0564,0.9909,206,-10000,0.18,0.09,0.71,-0.393,10121.4736,1.0318,199
413,-10000,0.159,0.158,0.662,-0.2438,105.6673,0.6841,125,30000,0.183,0.057,0.754,0.0373,40.1458,1.102,96,-10000,0.238,0.0,0.762,-0.1796,21.0564,0.9909,206,-10000,0.18,0.09,0.71,-0.393,10121.4736,1.0318,199
414,-10000,0.159,0.158,0.662,-0.2438,105.6673,0.6841,125,-10000,0.227,0.21,0.151,0.0373,40.1458,1.102,96,30000,0.069,0.182,0.723,0.0044,0.0005,0.7153,211,-10000,0.0,0.0,1.0,-0.393,10121.4736,1.0318,199
415,-10000,0.159,0.158,0.663,-0.263,384.8039,0.7952,130,-10000,0.0,0.333,0.667,0.0373,40.1458,1.102,96,-10000,0.068,0.183,0.723,0.0044,0.0005,0.7153,211,30000,0.178,0.089,0.712,-0.0825,1849.9862,1.0799,202
416,30000,0.16,0.156,0.664,-0.0711,0.0344,0.6184,134,-10000,0.0,0.0,1.0,0.0373,40.1458,1.102,96,-10000,0.262,0.277,0.204,0.0044,0.0005,0.7153,211,-10000,0.179,0.088,0.713,-0.1831,0.0521,0.7911,204
417,30000,0.158,0.154,0.669,-0.0711,0.0344,0.8217,134,-10000,0.27,0.0,0.73,0.0373,40.1458,1.102,96,-10000,0.068,0.183,0.722,0.0044,0.0005,0.7153,211,-10000,0.179,0.088,0.712,-0.1831,0.0521,0.7911,204
418,-10000,0.157,0.156,0.668,-0.0711,0.0344,0.8217,134,-10000,0.0,0.0,1.0,0.0373,40.1458,1.102,96,-10000,0.069,0.182,0.722,0.0044,0.0005,0.7498,211,30000,0.254,0.286,0.197,-0.1831,0.0521,0.7911,204
419,-10000,0.156,0.159,0.666,0.0019,1913.7067,0.6821,140,-10000,0.143,0.0,0.857,0.0373,40.1458,1.102,96,30000,0.231,0.204,0.162,0.0044,0.0005,0.7498,211,-10000,0.18,0.089,0.711,0.0425,315.0496,0.9818,207
420,-10000,0.155,0.159,0.667,0.116,559.0054,0.817,142,-10000,0.0,0.5,0.5,0.0373,40.1458,1.102,96,-10000,0.069,0.181,0.723,0.0044,0.0005,0.4793,211,30000,0.232,0.215,0.157,0.0425,315.0496,0.9818,207
421,-10000,0.155,0.159,0.667,0.116,559.0054,0.817,142,-10000,0.183,0.058,0.754,0.0373,40.1458,0.6579,96,30000,0.253,0.277,0.204,0.0044,0.0005,0.4793,211,-10000,0.0,0.333,0.667,0.0425,315.0496,0.9818,207
422,-10000,0.155,0.158,0.668,0.116,559.0054,0.817,142,-10000,0.182,0.058,0.755,0.0373,40.1458,0.6035,96,30000,0.167,0.0,0.833,0.0044,0.0005,0.4793,211,-10000,0.231,0.215,0.16,0.0425,315.0496,0.9818,207
423,30000,0.155,0.16,0.666,0.116,559.0054,0.817,142,-10000,0.181,0.058,0.756,0.0373,40.1458,0.6035,96,-10000,0.069,0.182,0.722,0.0044,0.0005,0.4793,211,-10000,0.0,0.333,0.667,0.0425,315.0496,0.9818,207
424,-10000,0.155,0.16,0.666,0.116,559.0054,1.2138,142,-10000,0.0,0.091,0.909,0.0373,40.1458,0.6035,96,30000,0.233,0.212,0.168,0.0044,0.0005,0.4793,211,-10000,0.18,0.089,0.711,0.0425,315.0496,0.9818,207
425,-10000,0.155,0.16,0.666,0.116,559.0054,1.2138,142,-10000,0.0,0.143,0.857,0.0373,40.1458,0.6035,96,30000,0.254,0.274,0.209,0.0044,0.0005,0.4793,211,-10000,0.179,0.089,0.712,-0.0431,5917.3091,0.9114,215
426,-10000,0.155,0.161,0.666,0.116,559.0054,1.2138,142,30000,0.227,0.208,0.178,0.0373,40.1458,0.6035,96,-10000,0.069,0.182,0.722,0.0044,0.0005,0.4793,211,-10000,0.0,0.5,0.5,-0.0431,5917.3091,0.9114,215
427,-10000,0.155,0.16,0.666,0.116,559.0054,0.647,142,-10000,0.258,0.272,0.212,0.0373,40.1458,0.6035,96,-10000,0.0,0.0,1.0,0.0044,0.0005,0.4793,211,30000,0.179,0.089,0.713,-0.0431,5917.3091,1.4879,215
428,30000,0.155,0.161,0.666,0.116,559.0054,0.647,142,-10000,0.0,0.5,0.5,0.0373,40.1458,0.6035,96,-10000,0.069,0.183,0.721,0.0044,0.0005,0.4793,211,-10000,0.178,0.089,0.713,-0.0431,5917.3091,1.4879,215
429,-10000,0.155,0.16,0.666,0.116,559.0054,0.647,142,-10000,0.181,0.058,0.756,0.0373,40.1458,0.6035,96,-10000,0.069,0.183,0.72,0.0044,0.0005,0.5991,211,30000,0.0,0.167,0.833,-0.0431,5917.3091,1.4879,215
430,-10000,0.154,0.159,0.669,-120.168,3679.1746,0.7684,143,30000,0.182,0.059,0.754,0.0373,40.1458,0.616,96,-10000,0.07,0.188,0.715,0.0044,0.0005,0.5991,211,-10000,0.0,0.0,1.0,-0.0431,5917.3091,1.4879,215
